94,block,107,60,1024,512,1,1,2,524288,6574080,821760,841482240,93
95,,54,30,512,512,3,3,1,2359296,829440,829440,3822059520,94
96,,54,30,512,2048,1,1,1,1048576,829440,3317760,1698693120,95
97,,107,60,1024,2048,1,1,2,2097152,6574080,3287040,3365928960,96
98,block,54,30,2048,512,1,1,1,1048576,3317760,829440,1698693120,97
99,,54,30,512,512,3,3,1,2359296,829440,829440,3822059520,98
100,,54,30,512,2048,1,1,1,1048576,829440,3317760,1698693120,99
101,block,54,30,2048,512,1,1,1,1048576,3317760,829440,1698693120,100
102,,54,30,512,512,3,3,1,2359296,829440,829440,3822059520,101
103,,54,30,512,2048,1,1,1,1048576,829440,3317760,1698693120,102
