0,conv1,854,480,3,64,7,7,2,9408,1229760,6558720,964131840,-1
1,block,427,240,64,256,1,1,1,16384,6558720,26234880,1679032320,0
2,,427,240,256,64,3,3,1,147456,26234880,6558720,15111290880,1
3,,427,240,64,256,1,1,1,16384,6558720,26234880,1679032320,2
4,,427,240,64,256,1,1,1,16384,6558720,26234880,1679032320,0
5,block,427,240,256,64,1,1,1,16384,26234880,6558720,1679032320,4
6,,427,240,64,64,3,3,1,36864,6558720,6558720,3777822720,5
7,,427,240,64,256,1,1,1,16384,6558720,26234880,1679032320,6
8,block,427,240,256,64,1,1,1,16384,26234880,6558720,1679032320,7
9,,427,240,64,64,3,3,1,36864,6558720,6558720,3777822720,8
10,,427,240,64,256,1,1,1,16384,6558720,26234880,1679032320,9
11,block,427,240,256,128,1,1,2,32768,26234880,3279360,839516160,10
12,,214,120,128,128,3,3,1,147456,3287040,3287040,3786670080,11
13,,214,120,128,512,1,1,1,65536,3287040,13148160,1682964480,12
14,,427,240,256,512,1,1,2,131072,26234880,13117440,3358064640,10
15,block,214,120,512,128,1,1,1,65536,13148160,3287040,1682964480,14
16,,214,120,128,128,3,3,1,147456,3287040,3287040,3786670080,15
17,,214,120,128,512,1,1,1,65536,3287040,13148160,1682964480,16
18,block,214,120,512,128,1,1,1,65536,13148160,3287040,1682964480,17
19,,214,120,128,128,3,3,1,147456,3287040,3287040,3786670080,18
20,,214,120,128,512,1,1,1,65536,3287040,13148160,1682964480,19
21,block,214,120,512,128,1,1,1,65536,13148160,3287040,1682964480,20
22,,214,120,128,128,3,3,1,147456,3287040,3287040,3786670080,21
23,,214,120,128,512,1,1,1,65536,3287040,13148160,1682964480,22
24,block,214,120,512,256,1,1,2,131072,13148160,1643520,841482240,23
25,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,24
26,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,25
27,,214,120,512,1024,1,1,2,524288,13148160,6574080,3365928960,23
28,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,27
29,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,28
30,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,29
31,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,30
32,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,31
33,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,32
34,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,33
35,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,34
36,,107,60,256,1024,1,1,1,262144,1643520,6574080,1682964480,35
37,block,107,60,1024,256,1,1,1,262144,6574080,1643520,1682964480,36
38,,107,60,256,256,3,3,1,589824,1643520,1643520,3786670080,37
